Date,Open,High,Low,Close,Volume
2024-01-02,50.0,50.06,49.82,49.86,9754959
2024-01-03,49.86,50.38,49.63,49.75,7331656
2024-01-04,49.75,49.79,49.4,49.48,10908896
2024-01-05,49.48,50.82,49.22,50.78,5463344
2024-01-08,50.78,51.8,50.77,51.34,7734191
2024-01-09,51.34,52.93,51.23,52.42,9225906
2024-01-10,52.42,54.19,52.29,54.11,8620533
2024-01-11,54.11,56.03,53.91,55.64,4213699
2024-01-12,55.64,55.85,50.72,51.04,10190030
2024-01-15,51.04,52.79,50.74,52.36,5494492
2024-01-16,52.36,52.46,52.28,52.32,10046590
2024-01-17,52.32,53.71,52.09,53.59,9196230
2024-01-18,53.59,53.84,52.42,52.58,9248316
2024-01-19,52.58,53.4,51.96,52.25,5252813
2024-01-22,52.25,54.25,52.07,53.75,10089543
2024-01-23,53.75,56.47,53.25,56.44,6669808
2024-01-24,56.44,58.79,56.43,58.28,8633093
2024-01-25,58.28,58.53,57.63,57.83,13803521
2024-01-26,57.83,59.28,57.63,59.07,5921047
2024-01-29,59.07,61.1,59.05,60.9,9873256
2024-01-30,60.9,61.0,59.08,59.72,5293803
2024-01-31,59.72,59.87,58.4,58.82,7953832
2024-02-01,58.82,59.47,58.44,59.41,10233387
2024-02-02,59.41,60.37,59.09,60.02,8952617
2024-02-05,60.02,62.36,59.34,62.35,7102809
2024-02-06,62.35,65.38,62.17,65.34,5178880
2024-02-07,65.34,65.84,64.9,65.19,9722209
2024-02-08,65.19,65.44,60.84,61.03,6625184
2024-02-09,61.03,61.03,59.42,60.02,5362248
2024-02-12,60.02,60.5,59.21,59.37,7089371
2024-02-13,59.37,60.1,59.29,59.67,4975956
2024-02-14,59.67,61.38,58.87,61.38,8702101
2024-02-15,61.38,64.42,61.34,63.96,8807864
2024-02-16,63.96,67.81,63.61,67.22,9478385
2024-02-19,67.22,70.35,67.2,70.1,6695875
2024-02-20,70.1,70.17,67.9,67.97,13050668
2024-02-21,67.97,68.08,66.44,66.99,7011343
2024-02-22,66.99,67.87,66.48,67.58,7889629
2024-02-23,67.58,67.74,65.51,65.69,9229145
2024-02-26,65.69,66.09,64.52,64.55,9749561
2024-02-27,64.55,67.17,64.45,66.96,13381988
2024-02-28,66.96,67.62,66.92,67.52,11706921
2024-02-29,67.52,68.03,67.1,67.85,6717853
2024-03-01,67.85,67.95,64.78,64.86,6479974
2024-03-04,64.86,66.76,64.51,66.55,9295546
2024-03-05,66.55,67.07,66.16,66.32,7886963
2024-03-06,66.32,66.5,64.93,65.1,6556157
2024-03-07,65.1,66.3,64.85,65.94,8952225
2024-03-08,65.94,66.85,65.29,66.06,9738209
2024-03-11,66.06,66.1,64.96,65.63,7978567
2024-03-12,65.63,69.93,65.51,69.78,6772881
2024-03-13,69.78,69.8,68.56,68.66,8506228
2024-03-14,68.66,69.36,64.93,64.99,12357263
2024-03-15,64.99,65.09,62.19,63.3,5825677
2024-03-18,63.3,63.49,60.56,60.73,9733350
2024-03-19,60.73,63.26,60.17,63.17,6912425
2024-03-20,63.17,65.68,62.49,65.52,7912371
2024-03-21,65.52,68.9,65.32,68.16,8773255
2024-03-22,68.16,68.46,66.03,66.05,9257994
2024-03-25,66.05,67.38,65.65,67.21,6055545
2024-03-26,67.21,67.44,64.44,65.25,7166804
2024-03-27,65.25,66.71,65.23,66.18,10503209
2024-03-28,66.18,66.44,65.34,65.58,11818339
2024-03-29,65.58,67.66,64.41,67.49,7919146
2024-04-01,67.49,68.84,67.41,68.73,13790428
2024-04-02,68.73,72.05,68.59,71.56,9070841
2024-04-03,71.56,73.56,70.77,73.09,3234082
2024-04-04,73.09,73.13,72.96,73.08,6075813
2024-04-05,73.08,73.79,70.88,71.0,8925134
2024-04-08,71.0,73.19,70.93,72.91,11373152
2024-04-09,72.91,73.14,72.6,72.78,6537970
2024-04-10,72.78,72.83,68.91,69.0,7094335
2024-04-11,69.0,69.13,67.24,67.84,8095637
2024-04-12,67.84,68.05,67.03,67.05,4838086
2024-04-15,67.05,67.07,66.29,66.94,10358684
2024-04-16,66.94,69.17,66.71,68.92,5151543
2024-04-17,68.92,69.75,68.65,69.6,12998449
2024-04-18,69.6,71.41,69.41,70.74,6981470
2024-04-19,70.74,71.02,70.6,70.86,2902121
2024-04-22,70.86,71.13,68.44,68.9,12757882
2024-04-23,68.9,72.99,68.63,72.27,3209274
2024-04-24,72.27,75.38,71.87,75.29,13024752
2024-04-25,75.29,77.23,75.19,76.57,6172150
2024-04-26,76.57,77.05,76.09,76.89,4441784
2024-04-29,76.89,78.21,76.6,77.58,8526621
2024-04-30,77.58,78.3,77.35,78.06,8242625
2024-05-01,78.06,78.68,76.2,76.48,7582232
2024-05-02,76.48,76.75,75.02,75.45,7633804
2024-05-03,75.45,76.46,75.23,76.4,7710052
2024-05-06,76.4,77.95,76.11,77.89,9680960
2024-05-07,77.89,78.19,77.47,77.8,6148157
